company_name,normalized_company_name,industry_name,normalized_industry_name,sub_industry,country,source,confidence_score,verified
Apple Inc.,apple inc,Technology,technology,Consumer Electronics,USA,Verified Real Company Database,100,True
Microsoft Corporation,microsoft corporation,Technology,technology,Software,USA,Verified Real Company Database,100,True
Google (Alphabet Inc.),google alphabet inc,Technology,technology,Internet Services,USA,Verified Real Company Database,100,True
Amazon.com Inc.,amazon com inc,E-commerce,ecommerce,Online Retail,USA,Verified Real Company Database,100,True
Meta Platforms Inc.,meta platforms inc,Technology,technology,Social Media,USA,Verified Real Company Database,100,True
NVIDIA Corporation,nvidia corporation,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
Intel Corporation,intel corporation,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
IBM Corporation,ibm corporation,Technology,technology,IT Services,USA,Verified Real Company Database,100,True
Oracle Corporation,oracle corporation,Technology,technology,Software,USA,Verified Real Company Database,100,True
Cisco Systems Inc.,cisco systems inc,Technology,technology,Networking,USA,Verified Real Company Database,100,True
Tesla Inc.,tesla inc,Automotive,automotive,Electric Vehicles,USA,Verified Real Company Database,100,True
Adobe Inc.,adobe inc,Technology,technology,Software,USA,Verified Real Company Database,100,True
Salesforce Inc.,salesforce inc,Technology,technology,Cloud Computing,USA,Verified Real Company Database,100,True
Netflix Inc.,netflix inc,Media,media,Streaming Services,USA,Verified Real Company Database,100,True
PayPal Holdings Inc.,paypal holdings inc,Financial Services,financial services,Payment Processing,USA,Verified Real Company Database,100,True
Advanced Micro Devices Inc.,advanced micro devices inc,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
Qualcomm Inc.,qualcomm inc,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
Broadcom Inc.,broadcom inc,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
Texas Instruments Inc.,texas instruments inc,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
Applied Materials Inc.,applied materials inc,Technology,technology,Semiconductor Equipment,USA,Verified Real Company Database,100,True
Micron Technology Inc.,micron technology inc,Technology,technology,Semiconductors,USA,Verified Real Company Database,100,True
Dell Technologies Inc.,dell technologies inc,Technology,technology,Computer Hardware,USA,Verified Real Company Database,100,True
HP Inc.,hp inc,Technology,technology,Computer Hardware,USA,Verified Real Company Database,100,True
ServiceNow Inc.,servicenow inc,Technology,technology,Cloud Services,USA,Verified Real Company Database,100,True
Workday Inc.,workday inc,Technology,technology,Cloud Software,USA,Verified Real Company Database,100,True
VMware Inc.,vmware inc,Technology,technology,Virtualization Software,USA,Verified Real Company Database,100,True
Autodesk Inc.,autodesk inc,Technology,technology,Design Software,USA,Verified Real Company Database,100,True
Intuit Inc.,intuit inc,Technology,technology,Financial Software,USA,Verified Real Company Database,100,True
Square Inc. (Block),square inc block,Financial Services,financial services,Payment Processing,USA,Verified Real Company Database,100,True
Twitter Inc. (X Corp),twitter inc x corp,Technology,technology,Social Media,USA,Verified Real Company Database,100,True
Uber Technologies Inc.,uber technologies inc,Technology,technology,Ride Hailing,USA,Verified Real Company Database,100,True
Lyft Inc.,lyft inc,Technology,technology,Ride Hailing,USA,Verified Real Company Database,100,True
Airbnb Inc.,airbnb inc,Technology,technology,Hospitality Platform,USA,Verified Real Company Database,100,True
Zoom Video Communications,zoom video communications,Technology,technology,Video Conferencing,USA,Verified Real Company Database,100,True
Slack Technologies,slack technologies,Technology,technology,Collaboration Software,USA,Verified Real Company Database,100,True
Dropbox Inc.,dropbox inc,Technology,technology,Cloud Storage,USA,Verified Real Company Database,100,True
DocuSign Inc.,docusign inc,Technology,technology,Digital Signature,USA,Verified Real Company Database,100,True
Splunk Inc.,splunk inc,Technology,technology,Data Analytics,USA,Verified Real Company Database,100,True
Snowflake Inc.,snowflake inc,Technology,technology,Cloud Data Platform,USA,Verified Real Company Database,100,True
Datadog Inc.,datadog inc,Technology,technology,Monitoring & Analytics,USA,Verified Real Company Database,100,True
CrowdStrike Holdings Inc.,crowdstrike holdings inc,Technology,technology,Cybersecurity,USA,Verified Real Company Database,100,True
Palo Alto Networks Inc.,palo alto networks inc,Technology,technology,Cybersecurity,USA,Verified Real Company Database,100,True
Fortinet Inc.,fortinet inc,Technology,technology,Cybersecurity,USA,Verified Real Company Database,100,True
Okta Inc.,okta inc,Technology,technology,Identity Management,USA,Verified Real Company Database,100,True
Zscaler Inc.,zscaler inc,Technology,technology,Cloud Security,USA,Verified Real Company Database,100,True
MongoDB Inc.,mongodb inc,Technology,technology,Database Software,USA,Verified Real Company Database,100,True
Atlassian Corporation,atlassian corporation,Technology,technology,Collaboration Software,USA,Verified Real Company Database,100,True
Twilio Inc.,twilio inc,Technology,technology,Cloud Communications,USA,Verified Real Company Database,100,True
HubSpot Inc.,hubspot inc,Technology,technology,Marketing Software,USA,Verified Real Company Database,100,True
Zendesk Inc.,zendesk inc,Technology,technology,Customer Service Software,USA,Verified Real Company Database,100,True
JPMorgan Chase & Co.,jpmorgan chase co,Banking,banking,Investment Banking,USA,Verified Real Company Database,100,True
Bank of America Corp.,bank of america corp,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
Wells Fargo & Company,wells fargo company,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
Goldman Sachs Group Inc.,goldman sachs group inc,Banking,banking,Investment Banking,USA,Verified Real Company Database,100,True
Morgan Stanley,morgan stanley,Banking,banking,Investment Banking,USA,Verified Real Company Database,100,True
Citigroup Inc.,citigroup inc,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
American Express Company,american express company,Financial Services,financial services,Credit Cards,USA,Verified Real Company Database,100,True
Visa Inc.,visa inc,Financial Services,financial services,Payment Processing,USA,Verified Real Company Database,100,True
Mastercard Inc.,mastercard inc,Financial Services,financial services,Payment Processing,USA,Verified Real Company Database,100,True
BlackRock Inc.,blackrock inc,Financial Services,financial services,Asset Management,USA,Verified Real Company Database,100,True
Charles Schwab Corporation,charles schwab corporation,Financial Services,financial services,Brokerage,USA,Verified Real Company Database,100,True
U.S. Bancorp,us bancorp,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
PNC Financial Services,pnc financial services,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
Truist Financial Corporation,truist financial corporation,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
